GM,EntryYear,EntryClub,PlayersDrafted,NorthStar,NorthStarRank,PERC,FBC,Mental,WorkEthic,Passion,Coach,Teammate,Leader,Dependability,Confidence,LifeSkills,ManagementOfCollegeLife,Relationships,OffField,MentalOverall,SDTotal,CombineInvites,UCWatch,EntryAge,SRB,isPower5,isFBS,isFCS,isD2,HTAvg,WTAvg,ArmAvg,Avg40Avg,OL,DL,OLB,ILB,DS,DC,RB,WR,QB,TE,GS,GP,GM2,GMI,GMO,GPI,GI,AvgEvalCount,NormalizedAvg,AAAvg,EXPAvg,SpdAvg,StrAvg,CmpsAvg,TghsAvg,FBIAvg,Day1PicksPercentile,Day2PicksPercentile,Day3PicksPercentile,avgEPAR
Marty Hurney,2018,CAR,8,2.175461048,144,2.275,2.35,2.0625,2.15,1.875,2.1875,1.875,2.4375,2,1.8125,2.4125,2.4375,2.3375,2.125,NULL,0.092814497,0.875,0.625,22.6125,0.25,1,1,0,0,61,48,58,54,0,2,1,2,1,1,0,0,0,1,25.75,35.5,5.5,0,0,2.125,0,4.875,4.02125,2.1625,2.5125,2.45,2.575,2.125,2.2125,2.75,0.125,0.25,0.625,0.596832469
Marty Hurney,2019,CAR,7,2.023187896,67,1.928571,2.142857,2.214285,2.142857,1.928571,1.714285,2,2.285714,1.928571,1.857142,2.142857,2.071428,1.785714,1.928571,NULL,-0.996781514,1,0.428571429,22.914285,0.285714286,1,1,0,0,46,57,51,50,2,2,2,0,0,0,1,0,1,0,23.85714286,35.71428571,11.42857143,2.142857143,4.142857143,0.714285714,0,5,4.114285,2.357142,2.6,2.557142,2.842857,2.328571,2.514285,2.628571,0.142857143,0.285714286,0.571428571,0.73496994
Marty Hurney,2020,CAR,7,2.153914197,128,2.214285,2.285714,2.285714,2.357142,2.071428,2,1.857142,2.714285,1.857142,2.142857,2.357142,1.857142,2.042857,2.542857,2.071428,1.196118711,0.714285714,0.142857143,22.542857,0.285714286,0.714285714,0.857142857,0.142857143,0,41,32,50,40,0,3,1,1,1,2,0,0,0,0,31,41.57142857,3.428571429,1.714285714,0,1.428571429,1.428571429,8.714285714,4.511428,2.814285,3,2.942857,3.028571,2.971428,3.142857,3.171428,0.142857143,0.285714286,0.571428571,0.763152334
Scott Fitterer,2021,CAR,11,2.502740642,246,2.390909,2.554545,2.363636,2.363636,2.045454,2.727272,2.545454,2.863636,2.681818,2.136363,2.518181,2.427272,2.181818,2.572727,2.563636,2.842327512,0.909090909,0.545454545,22.818181,0.363636364,0.909090909,1,0,0,39,42,37,47,2,2,0,0,0,2,1,0,0,1,20.72727273,36.54545455,10.09090909,2.272727273,0.727272727,0.727272727,0.636363636,7.636363636,3.946,2.85,2.97,2.93,2.8,2.66,2.83,2.96,0.090909091,0.272727273,0.636363636,0.708979457
Scott Fitterer,2022,CAR,6,2.466666667,240,2.25,2.55,2.833333,3,2.333333,2.166666,2.166666,2.833333,1.833333,2.166666,2.75,2.416666,2.333333,2.25,2.783333,2.800403536,1,0.5,22.883333,0.333333333,1,1,0,0,50,55,43,24,2,1,1,1,0,1,0,0,1,0,24.66666667,36.16666667,6.5,3,0.5,0.333333333,1.5,6.5,4.381666,2.833333,2.766666,2.616666,3.216666,2.666666,2.883333,3.283333,0.166666667,0.166666667,0.666666667,0.661790457
Scott Fitterer,2023,CAR,5,2.387009804,222,2.3,2.6,2.4,2.4,2,2.2,2.4,3.2,2.2,2,2.5,2.2,2.2,2.2,2.7,3.436089311,0.8,0.4,23.26,0.6,1,1,0,0,68,58,63,33,1,1,1,0,1,0,0,0,1,0,30.4,42.8,8.8,3.8,2.6,0,0.6,8,3.898,2.9,2.82,2.96,2.96,2.52,2.84,2.9,0.2,0.4,0.4,0.688995441
Dan Morgan,2024,CAR,7,2.193984962,153,2.428571,2.1,2.285714,1.857142,1.857142,2.142857,2.142857,2.714285,1.714285,2.142857,2.714285,1.928571,2.071428,2.214285,2.428571,-0.15915567,1,0.571428571,22.628571,0.571428571,1,1,0,0,55,47,50,50,0,1,0,2,0,1,1,0,0,1,26.85714286,42.71428571,10,3.714285714,0.428571429,0.714285714,0.857142857,8.428571429,4.14,2.857142,2.785714,2.814285,3.057142,2.728571,2.9,3.1,0.142857143,0.285714286,0.571428571,0.647509261
Ryan Pace,2017,CHI,5,1.87912234,29,2,1.76,1.9,1.86,1.7,1.76,1.6,2.5,1.8,1.4,1.94,2,2.1,1.86,NULL,0.834108307,1,0.4,23,0.2,0.4,0.4,0.2,0.4,58,50,40,53,1,0,0,0,1,0,1,0,1,1,26.6,32.4,3.2,0,0,0,0,4.2,3.674,1.9,2.26,2.2,3.06,1.88,2.18,2.52,0.2,0.2,0.6,0.865009167
Ryan Pace,2018,CHI,7,1.991642149,61,2,2.142857,1.9,1.857142,1.671428,2.214285,1.9,2.357142,1.714285,1.928571,2.1,2,1.814285,1.857142,NULL,3.237190049,1,0.428571429,22.728571,0.285714286,0.571428571,0.857142857,0.142857143,0,50,50,50,50,1,2,1,2,0,0,0,0,0,0,24,34.28571429,8.571428571,0,0,0.285714286,0,5.714285714,3.924285,2.114285,2.528571,2.314285,2.585714,2,2.242857,2.485714,0.142857143,0.285714286,0.571428571,0.802621268
Ryan Pace,2019,CHI,5,2.259770115,181,2.2,2.1,2.3,2,1.8,2.2,2.3,2.7,2,2.1,2.6,2.2,2.4,2.1,NULL,0.146231736,0.4,0.6,22.88,0,0.6,0.8,0,0.2,50,50,42,52,0,0,0,0,0,2,2,0,0,0,20.6,37.2,6,2,1.8,1.4,0,6.6,4.478,2.42,2.92,2.9,3.06,2.12,2.44,2.6,0,0.2,0.8,0.723849925
